Season,Overall Rank,Team,Country,League Rank,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points Per Match,Expected Goals,Expected Goals Against,Expected Goal Difference,Expected Goal Difference Per Match
2018-2019,16,Atalanta,it,3,38,20,9,9,77,46,31.0,69,1.82,66.9,41.2,25.700000000000003,0.6763157894736843
2018-2019,17,Inter,it,4,38,20,9,9,57,33,24.0,69,1.82,64.1,38.2,25.89999999999999,0.6815789473684208
2018-2019,18,Milan,it,5,38,19,11,8,55,36,19.0,68,1.79,48.1,40.0,8.100000000000001,0.21315789473684213
2018-2019,19,Real Madrid,es,3,38,21,5,12,63,46,17.0,68,1.79,61.3,45.6,15.699999999999996,0.413157894736842
2018-2019,20,Roma,it,6,38,18,12,8,66,48,18.0,66,1.74,64.3,54.4,9.899999999999999,0.26052631578947366
2018-2019,21,Saint-Étienne,fr,4,38,19,9,10,59,41,18.0,66,1.74,55.8,50.3,5.5,0.14473684210526316
2018-2019,22,Manchester Utd,eng,6,38,19,9,10,65,54,11.0,66,1.74,58.4,46.6,11.799999999999997,0.3105263157894736
2018-2019,23,Leverkusen,de,4,34,18,4,12,69,52,17.0,58,1.71,62.1,43.6,18.5,0.5441176470588235
2018-2019,24,Torino,it,7,38,16,15,7,52,37,15.0,63,1.66,49.3,48.0,1.2999999999999972,0.0342105263157894
2018-2019,25,M'Gladbach,de,5,34,16,7,11,55,42,13.0,55,1.62,51.1,49.6,1.5,0.04411764705882353
2018-2019,26,Wolfsburg,de,6,34,16,7,11,62,50,12.0,55,1.62,46.2,46.4,-0.19999999999999574,-0.005882352941176346
2018-2019,27,Valencia,es,4,38,15,16,7,51,35,16.0,61,1.61,57.3,40.3,17.0,0.4473684210526316
2018-2019,28,Marseille,fr,5,38,18,7,13,60,52,8.0,61,1.61,52.6,46.2,6.399999999999999,0.16842105263157892
2018-2019,29,Eint Frankfurt,de,7,34,15,9,10,60,48,12.0,54,1.59,55.4,50.5,4.899999999999999,0.1441176470588235
2018-2019,30,Werder Bremen,de,8,34,14,11,9,58,49,9.0,53,1.56,49.5,53.9,-4.399999999999999,-0.1294117647058823
2018-2019,31,Sevilla,es,6,38,17,8,13,62,47,15.0,59,1.55,63.5,44.1,19.4,0.5105263157894736
2018-2019,32,Getafe,es,5,38,15,14,9,48,35,13.0,59,1.55,44.7,40.7,4.0,0.10526315789473684
2018-2019,33,Montpellier,fr,6,38,15,14,9,53,42,11.0,59,1.55,45.2,43.2,2.0,0.05263157894736842
2018-2019,34,Lazio,it,8,38,17,8,13,56,46,10.0,59,1.55,56.4,42.7,13.699999999999996,0.3605263157894736
2018-2019,35,Hoffenheim,de,9,34,13,12,9,70,52,18.0,51,1.50,73.1,51.9,21.199999999999996,0.6235294117647058
2018-2019,36,Wolves,eng,7,38,16,9,13,47,46,1.0,57,1.50,48.7,39.2,9.5,0.25
2018-2019,37,Nice,fr,7,38,15,11,12,30,35,-5.0,56,1.47,44.2,49.0,-4.799999999999997,-0.12631578947368413
2018-2019,38,Reims,fr,8,38,13,16,9,39,42,-3.0,55,1.45,40.6,44.9,-4.299999999999997,-0.11315789473684203
2018-2019,39,Everton,eng,8,38,15,9,14,54,46,8.0,54,1.42,48.2,47.4,0.8000000000000043,0.02105263157894748
2018-2019,40,Sampdoria,it,9,38,15,8,15,60,51,9.0,53,1.39,49.8,52.7,-2.9000000000000057,-0.07631578947368436
2018-2019,41,Nîmes,fr,9,38,15,8,15,57,58,-1.0,53,1.39,47.9,55.8,-7.899999999999999,-0.20789473684210522
2018-2019,42,Espanyol,es,7,38,14,11,13,48,50,-2.0,53,1.39,48.8,50.8,-2.0,-0.05263157894736842
2018-2019,43,Athletic Club,es,8,38,13,14,11,41,45,-4.0,53,1.39,40.2,43.8,-3.5999999999999943,-0.09473684210526301
2018-2019,44,Leicester City,eng,9,38,15,7,16,51,48,3.0,52,1.37,49.6,45.5,4.100000000000001,0.10789473684210531
2018-2019,45,Rennes,fr,10,38,13,13,12,55,52,3.0,52,1.37,52.2,48.7,3.5,0.09210526315789473
2018-2019,46,West Ham,eng,10,38,15,7,16,52,55,-3.0,52,1.37,46.9,61.3,-14.399999999999999,-0.3789473684210526
2018-2019,47,Real Sociedad,es,9,38,13,11,14,45,46,-1.0,50,1.32,46.5,43.9,2.6000000000000014,0.06842105263157898
2018-2019,48,Watford,eng,11,38,14,8,16,52,59,-7.0,50,1.32,47.6,54.9,-7.299999999999997,-0.19210526315789467
2018-2019,49,Betis,es,10,38,14,8,16,44,52,-8.0,50,1.32,48.8,47.1,1.6999999999999957,0.04473684210526305
2018-2019,50,Alavés,es,11,38,13,11,14,39,50,-11.0,50,1.32,37.3,51.0,-13.700000000000003,-0.36052631578947375
2018-2019,51,Strasbourg,fr,11,38,11,16,11,58,48,10.0,49,1.29,42.2,49.6,-7.399999999999999,-0.19473684210526312
2018-2019,52,Crystal Palace,eng,12,38,14,7,17,51,53,-2.0,49,1.29,50.7,49.0,1.7000000000000028,0.044736842105263235
2018-2019,53,Düsseldorf,de,10,34,13,5,16,49,65,-16.0,44,1.29,46.7,60.2,-13.5,-0.39705882352941174
2018-2019,54,Nantes,fr,12,38,13,9,16,48,48,0.0,48,1.26,47.7,47.9,-0.19999999999999574,-0.00526315789473673
2018-2019,55,Hertha BSC,de,11,34,11,10,13,49,57,-8.0,43,1.26,47.9,59.4,-11.5,-0.3382352941176471
2018-2019,56,Mainz 05,de,12,34,12,7,15,46,57,-11.0,43,1.26,48.5,57.2,-8.700000000000003,-0.25588235294117656
2018-2019,57,Eibar,es,12,38,11,14,13,46,50,-4.0,47,1.24,50.7,45.1,5.600000000000001,0.14736842105263162
2018-2019,58,Angers,fr,13,38,10,16,12,44,49,-5.0,46,1.21,47.7,46.9,0.8000000000000043,0.02105263157894748
2018-2019,59,Leganés,es,13,38,11,12,15,37,43,-6.0,45,1.18,37.4,40.0,-2.6000000000000014,-0.06842105263157898
2018-2019,60,Newcastle Utd,eng,13,38,12,9,17,42,48,-6.0,45,1.18,39.1,53.2,-14.100000000000001,-0.3710526315789474
2018-2019,61,Bournemouth,eng,14,38,13,6,19,56,70,-14.0,45,1.18,54.4,55.9,-1.5,-0.039473684210526314
2018-2019,62,Villarreal,es,14,38,10,14,14,49,52,-3.0,44,1.16,50.7,53.4,-2.6999999999999957,-0.07105263157894726
2018-2019,63,Levante,es,15,38,11,11,16,59,66,-7.0,44,1.16,49.9,67.9,-18.000000000000007,-0.473684210526316
2018-2019,64,Bologna,it,10,38,11,11,16,48,56,-8.0,44,1.16,47.4,46.7,0.6999999999999957,0.018421052631578835
2018-2019,65,Sassuolo,it,11,38,9,16,13,53,60,-7.0,43,1.13,46.4,57.2,-10.800000000000004,-0.2842105263157896
2018-2019,66,Udinese,it,12,38,11,10,17,39,53,-14.0,43,1.13,41.5,57.7,-16.200000000000003,-0.42631578947368426
2018-2019,67,SPAL,it,13,38,11,9,18,44,56,-12.0,42,1.11,41.5,48.6,-7.100000000000001,-0.18684210526315792
2018-2019,68,Fiorentina,it,16,38,8,17,13,47,45,2.0,41,1.08,52.4,42.3,10.100000000000001,0.2657894736842106
2018-2019,69,Bordeaux,fr,14,38,10,11,17,34,42,-8.0,41,1.08,40.3,53.2,-12.900000000000006,-0.3394736842105265
2018-2019,70,Celta Vigo,es,17,38,10,11,17,53,62,-9.0,41,1.08,44.8,59.7,-14.900000000000006,-0.3921052631578949
2018-2019,71,Cagliari,it,15,38,10,11,17,36,54,-18.0,41,1.08,39.1,58.5,-19.4,-0.5105263157894736
2018-2019,72,Valladolid,es,16,38,10,11,17,32,51,-19.0,41,1.08,40.3,52.9,-12.600000000000001,-0.3315789473684211
2018-2019,73,Parma,it,14,38,10,11,17,41,61,-20.0,41,1.08,38.6,65.2,-26.6,-0.7000000000000001
2018-2019,74,Freiburg,de,13,34,8,12,14,46,61,-15.0,36,1.06,42.2,55.4,-13.199999999999996,-0.38823529411764696
2018-2019,75,Burnley,eng,15,38,11,7,20,45,68,-23.0,40,1.05,41.1,63.7,-22.6,-0.5947368421052632
2018-2019,76,Southampton,eng,16,38,9,12,17,45,65,-20.0,39,1.03,47.2,55.4,-8.199999999999996,-0.21578947368421042
2018-2019,77,Genoa,it,17,38,8,14,16,39,57,-18.0,38,1.00,43.6,53.8,-10.199999999999996,-0.26842105263157884
2018-2019,78,Empoli,it,18,38,10,8,20,51,70,-19.0,38,1.00,52.0,61.0,-9.0,-0.23684210526315788
2018-2019,79,Amiens,fr,15,38,9,11,18,31,52,-21.0,38,1.00,34.6,46.4,-11.799999999999997,-0.3105263157894736
2018-2019,80,Toulouse,fr,16,38,8,14,16,35,57,-22.0,38,1.00,44.0,58.6,-14.600000000000001,-0.3842105263157895
2018-2019,81,Girona,es,18,38,9,10,19,37,53,-16.0,37,0.97,38.6,50.5,-11.899999999999999,-0.3131578947368421
2018-2019,82,Schalke 04,de,14,34,8,9,17,37,55,-18.0,33,0.97,43.1,49.8,-6.699999999999996,-0.19705882352941165
2018-2019,83,Monaco,fr,17,38,8,12,18,38,57,-19.0,36,0.95,48.7,47.2,1.5,0.039473684210526314
2018-2019,84,Brighton,eng,17,38,9,9,20,35,60,-25.0,36,0.95,34.5,56.5,-22.0,-0.5789473684210527
2018-2019,85,Augsburg,de,15,34,8,8,18,51,71,-20.0,32,0.94,43.3,57.5,-14.200000000000003,-0.4176470588235295
2018-2019,86,Dijon,fr,18,38,9,7,22,31,60,-29.0,34,0.89,39.5,61.0,-21.5,-0.5657894736842105
2018-2019,87,Cardiff City,eng,18,38,10,4,24,34,69,-35.0,34,0.89,39.5,62.0,-22.5,-0.5921052631578947
2018-2019,88,Huesca,es,19,38,7,12,19,43,65,-22.0,33,0.87,45.9,57.0,-11.100000000000001,-0.29210526315789476
2018-2019,89,Caen,fr,19,38,7,12,19,29,54,-25.0,33,0.87,31.1,57.6,-26.5,-0.6973684210526315
2018-2019,90,Rayo Vallecano,es,20,38,8,8,22,41,70,-29.0,32,0.84,40.8,54.5,-13.700000000000003,-0.36052631578947375
2018-2019,91,Stuttgart,de,16,34,7,7,20,32,70,-38.0,28,0.82,39.0,57.4,-18.4,-0.5411764705882353
2018-2019,92,Guingamp,fr,20,38,5,12,21,28,68,-40.0,27,0.71,39.9,50.1,-10.200000000000003,-0.268421052631579
2018-2019,93,Fulham,eng,19,38,7,5,26,34,81,-47.0,26,0.68,38.8,65.3,-26.5,-0.6973684210526315
2018-2019,94,Frosinone,it,19,38,5,10,23,29,69,-40.0,25,0.66,35.5,60.8,-25.299999999999997,-0.6657894736842105
2018-2019,95,Hannover 96,de,17,34,5,6,23,31,71,-40.0,21,0.62,33.7,66.1,-32.39999999999999,-0.952941176470588
2018-2019,96,Nürnberg,de,18,34,3,10,21,26,68,-42.0,19,0.56,33.0,55.7,-22.700000000000003,-0.6676470588235295
2018-2019,97,Chievo,it,20,38,2,14,22,25,75,-50.0,17,0.45,35.6,59.6,-24.0,-0.631578947368421
2018-2019,98,Huddersfield,eng,20,38,3,7,28,22,76,-54.0,16,0.42,28.9,63.4,-34.5,-0.9078947368421053
2017-2018,1,Manchester City,eng,1,38,32,4,2,106,27,79.0,100,2.63,86.4,22.8,63.60000000000001,1.673684210526316
2017-2018,2,Juventus,it,1,38,30,5,3,86,24,62.0,95,2.50,59.8,28.7,31.099999999999998,0.8184210526315789
2017-2018,3,Bayern Munich,de,1,34,27,3,4,92,28,64.0,84,2.47,77.7,33.6,44.1,1.2970588235294118
2017-2018,4,Paris S-G,fr,1,38,29,6,3,108,29,79.0,93,2.45,89.2,32.1,57.1,1.5026315789473685
2017-2018,5,Barcelona,es,1,38,28,9,1,99,29,70.0,93,2.45,80.5,41.8,38.7,1.0184210526315791
2017-2018,6,Napoli,it,2,38,28,7,3,77,29,48.0,91,2.39,66.6,25.4,41.199999999999996,1.0842105263157893
2017-2018,7,Manchester Utd,eng,2,38,25,6,7,68,28,40.0,81,2.13,60.7,41.7,19.0,0.5
2017-2018,8,Monaco,fr,2,38,24,8,6,85,45,40.0,80,2.11,61.5,47.0,14.5,0.3815789473684211
2017-2018,9,Atlético Madrid,es,2,38,23,10,5,58,22,36.0,79,2.08,47.7,35.9,11.800000000000004,0.3105263157894738
2017-2018,10,Lyon,fr,3,38,23,9,6,87,43,44.0,78,2.05,67.0,39.7,27.299999999999997,0.7184210526315788
2017-2018,11,Tottenham,eng,3,38,23,8,7,74,36,38.0,77,2.03,67.3,35.0,32.3,0.85
2017-2018,12,Marseille,fr,4,38,22,11,5,80,47,33.0,77,2.03,72.1,42.8,29.299999999999997,0.7710526315789473
2017-2018,13,Roma,it,3,38,23,8,7,61,28,33.0,77,2.03,69.3,39.9,29.4,0.7736842105263158
2017-2018,14,Real Madrid,es,3,38,22,10,6,94,44,50.0,76,2.00,82.2,44.6,37.6,0.9894736842105264
2017-2018,15,Liverpool,eng,4,38,21,12,5,84,38,46.0,75,1.97,72.8,34.0,38.8,1.0210526315789472
2017-2018,16,Valencia,es,4,38,22,7,9,65,38,27.0,73,1.92,56.3,44.6,11.699999999999996,0.30789473684210517
2017-2018,17,Lazio,it,5,38,21,9,8,89,49,40.0,72,1.89,63.5,44.4,19.1,0.5026315789473684
2017-2018,18,Inter,it,4,38,20,12,6,66,30,36.0,72,1.89,60.8,35.3,25.5,0.6710526315789473
2017-2018,19,Schalke 04,de,2,34,18,9,7,53,37,16.0,63,1.85,47.8,42.3,5.5,0.16176470588235295
2017-2018,20,Chelsea,eng,5,38,21,7,10,62,38,24.0,70,1.84,57.9,35.3,22.6,0.5947368421052632
2017-2018,21,Milan,it,6,38,18,10,10,56,42,14.0,64,1.68,54.2,39.4,14.800000000000004,0.3894736842105264
2017-2018,22,Arsenal,eng,6,38,19,6,13,74,51,23.0,63,1.66,68.4,50.5,17.900000000000006,0.4710526315789475
2017-2018,23,Hoffenheim,de,3,34,15,10,9,66,48,18.0,55,1.62,51.7,47.5,4.200000000000003,0.12352941176470597
2017-2018,24,Dortmund,de,4,34,15,10,9,64,47,17.0,55,1.62,63.7,44.5,19.200000000000003,0.5647058823529413
2017-2018,25,Leverkusen,de,5,34,15,10,9,58,44,14.0,55,1.62,59.2,37.0,22.200000000000003,0.6529411764705884
2017-2018,26,Villarreal,es,5,38,18,7,13,57,50,7.0,61,1.61,50.7,52.9,-2.1999999999999957,-0.05789473684210515
2017-2018,27,Atalanta,it,7,38,16,12,10,57,39,18.0,60,1.58,67.4,37.2,30.200000000000003,0.7947368421052632
2017-2018,28,Betis,es,6,38,18,6,14,60,61,-1.0,60,1.58,42.6,50.0,-7.399999999999999,-0.19473684210526312
2017-2018,29,RB Leipzig,de,6,34,15,8,11,57,53,4.0,53,1.56,54.2,45.7,8.5,0.25
2017-2018,30,Rennes,fr,5,38,16,10,12,50,44,6.0,58,1.53,49.4,53.5,-4.100000000000001,-0.10789473684210531
2017-2018,31,Sevilla,es,7,38,17,7,14,49,58,-9.0,58,1.53,56.3,54.1,2.1999999999999957,0.05789473684210515
2017-2018,32,Fiorentina,it,8,38,16,9,13,54,46,8.0,57,1.50,57.2,42.5,14.700000000000003,0.386842105263158
2017-2018,33,Stuttgart,de,7,34,15,6,13,36,36,0.0,51,1.50,39.6,45.7,-6.100000000000001,-0.17941176470588238
2017-2018,34,Getafe,es,8,38,15,10,13,42,33,9.0,55,1.45,45.6,37.4,8.200000000000003,0.21578947368421061
2017-2018,35,Bordeaux,fr,6,38,16,7,15,53,48,5.0,55,1.45,52.6,40.8,11.800000000000004,0.3105263157894738
2017-2018,36,Saint-Étienne,fr,7,38,15,10,13,47,50,-3.0,55,1.45,52.0,51.7,0.29999999999999716,0.007894736842105189
2017-2018,37,Eint Frankfurt,de,8,34,14,7,13,45,45,0.0,49,1.44,43.5,42.1,1.3999999999999986,0.04117647058823525
2017-2018,38,Torino,it,9,38,13,15,10,54,46,8.0,54,1.42,47.1,52.4,-5.299999999999997,-0.13947368421052625
2017-2018,39,Nice,fr,8,38,15,9,14,53,52,1.0,54,1.42,51.7,48.2,3.5,0.09210526315789473
2017-2018,40,Burnley,eng,7,38,14,12,12,36,39,-3.0,54,1.42,34.5,51.8,-17.299999999999997,-0.45526315789473676
2017-2018,41,Sampdoria,it,10,38,16,6,16,56,60,-4.0,54,1.42,51.3,63.2,-11.900000000000006,-0.31315789473684225
2017-2018,42,M'Gladbach,de,9,34,13,8,13,47,52,-5.0,47,1.38,51.4,51.5,-0.10000000000000142,-0.002941176470588277
2017-2018,43,Nantes,fr,9,38,14,10,14,36,41,-5.0,52,1.37,43.3,41.3,2.0,0.05263157894736842
2017-2018,44,Montpellier,fr,10,38,11,18,9,36,33,3.0,51,1.34,42.4,41.7,0.6999999999999957,0.018421052631578835
2017-2018,45,Eibar,es,9,38,14,9,15,44,50,-6.0,51,1.34,38.7,44.4,-5.699999999999996,-0.14999999999999988
2017-2018,46,Girona,es,10,38,14,9,15,50,59,-9.0,51,1.34,48.4,48.8,-0.3999999999999986,-0.010526315789473648
2017-2018,47,Real Sociedad,es,12,38,14,7,17,66,59,7.0,49,1.29,53.9,46.6,7.299999999999997,0.19210526315789467
2017-2018,48,Celta Vigo,es,13,38,13,10,15,59,60,-1.0,49,1.29,53.1,51.9,1.2000000000000028,0.03157894736842113
2017-2018,49,Espanyol,es,11,38,12,13,13,36,42,-6.0,49,1.29,43.0,46.6,-3.6000000000000014,-0.09473684210526319
2017-2018,50,Everton,eng,8,38,13,10,15,44,58,-14.0,49,1.29,41.5,52.3,-10.799999999999997,-0.2842105263157894
2017-2018,51,Hertha BSC,de,10,34,10,13,11,43,46,-3.0,43,1.26,39.9,46.6,-6.700000000000003,-0.19705882352941184
2017-2018,52,Dijon,fr,11,38,13,9,16,55,73,-18.0,48,1.26,42.9,69.2,-26.300000000000004,-0.6921052631578949
2017-2018,53,Werder Bremen,de,11,34,10,12,12,37,40,-3.0,42,1.24,39.9,48.5,-8.600000000000001,-0.2529411764705883
2017-2018,54,Leicester City,eng,9,38,12,11,15,56,60,-4.0,47,1.24,48.1,49.9,-1.7999999999999972,-0.047368421052631504
2017-2018,55,Alavés,es,14,38,15,2,21,40,50,-10.0,47,1.24,39.0,53.2,-14.200000000000003,-0.37368421052631584
2017-2018,56,Guingamp,fr,12,38,12,11,15,48,59,-11.0,47,1.24,45.6,53.6,-8.0,-0.21052631578947367
2017-2018,57,Augsburg,de,12,34,10,11,13,43,46,-3.0,41,1.21,44.8,42.9,1.8999999999999986,0.05588235294117643
2017-2018,58,Levante,es,15,38,11,13,14,44,58,-14.0,46,1.21,41.3,60.5,-19.200000000000003,-0.505263157894737
2017-2018,59,Amiens,fr,13,38,12,9,17,37,42,-5.0,45,1.18,35.3,55.4,-20.1,-0.5289473684210527
2017-2018,60,Newcastle Utd,eng,10,38,12,8,18,39,47,-8.0,44,1.16,45.3,53.4,-8.100000000000001,-0.21315789473684213
2017-2018,61,Crystal Palace,eng,11,38,11,11,16,45,55,-10.0,44,1.16,56.1,50.6,5.5,0.14473684210526316
2017-2018,62,Bournemouth,eng,12,38,11,11,16,45,61,-16.0,44,1.16,44.8,61.4,-16.6,-0.4368421052631579
2017-2018,63,Hannover 96,de,13,34,10,9,15,44,54,-10.0,39,1.15,46.0,54.3,-8.299999999999997,-0.24411764705882344
2017-2018,64,Athletic Club,es,16,38,10,13,15,41,49,-8.0,43,1.13,44.3,46.4,-2.1000000000000014,-0.05526315789473688
2017-2018,65,Leganés,es,17,38,12,7,19,34,51,-17.0,43,1.13,40.6,46.1,-5.5,-0.14473684210526316
2017-2018,66,Sassuolo,it,11,38,11,10,17,29,59,-30.0,43,1.13,49.4,49.3,0.10000000000000142,0.0026315789473684583
2017-2018,67,West Ham,eng,13,38,10,12,16,48,68,-20.0,42,1.11,39.8,59.3,-19.5,-0.5131578947368421
2017-2018,68,Genoa,it,12,38,11,8,19,33,43,-10.0,41,1.08,43.3,45.6,-2.3000000000000043,-0.060526315789473796
2017-2018,69,Angers,fr,14,38,9,14,15,42,52,-10.0,41,1.08,45.6,44.0,1.6000000000000014,0.04210526315789478
2017-2018,70,Watford,eng,14,38,11,8,19,44,64,-20.0,41,1.08,47.4,57.9,-10.5,-0.27631578947368424
2017-2018,71,Mainz 05,de,14,34,9,9,16,38,52,-14.0,36,1.06,35.3,51.5,-16.200000000000003,-0.4764705882352942
2017-2018,72,Freiburg,de,15,34,8,12,14,32,56,-24.0,36,1.06,41.3,50.6,-9.300000000000004,-0.273529411764706
2017-2018,73,Udinese,it,14,38,12,4,22,48,63,-15.0,40,1.05,43.6,50.8,-7.199999999999996,-0.1894736842105262
2017-2018,74,Brighton,eng,15,38,9,13,16,34,54,-20.0,40,1.05,37.2,52.6,-15.399999999999999,-0.4052631578947368
2017-2018,75,Chievo,it,13,38,10,10,18,36,59,-23.0,40,1.05,32.3,54.3,-22.0,-0.5789473684210527
2017-2018,76,Bologna,it,15,38,11,6,21,40,52,-12.0,39,1.03,37.1,53.7,-16.6,-0.4368421052631579
2017-2018,77,Cagliari,it,16,38,11,6,21,33,61,-28.0,39,1.03,40.1,58.7,-18.6,-0.48947368421052634
2017-2018,78,SPAL,it,17,38,8,14,16,39,59,-20.0,38,1.00,37.9,60.1,-22.200000000000003,-0.5842105263157895
2017-2018,79,Strasbourg,fr,15,38,9,11,18,44,67,-23.0,38,1.00,45.4,55.8,-10.399999999999999,-0.27368421052631575
2017-2018,80,Caen,fr,16,38,10,8,20,27,52,-25.0,38,1.00,42.2,48.7,-6.5,-0.17105263157894737
2017-2018,81,Lille,fr,17,38,10,8,20,41,67,-26.0,38,1.00,37.7,56.7,-19.0,-0.5
2017-2018,82,Wolfsburg,de,16,34,6,15,13,36,48,-12.0,33,0.97,39.2,49.5,-10.299999999999997,-0.30294117647058816
2017-2018,83,Toulouse,fr,18,38,9,10,19,38,54,-16.0,37,0.97,46.0,53.3,-7.299999999999997,-0.19210526315789467
2017-2018,84,Huddersfield,eng,16,38,9,10,19,28,58,-30.0,37,0.97,31.7,55.2,-23.500000000000004,-0.6184210526315791
2017-2018,85,Southampton,eng,17,38,7,15,16,37,56,-19.0,36,0.95,42.1,48.8,-6.699999999999996,-0.1763157894736841
2017-2018,86,Crotone,it,18,38,9,8,21,40,66,-26.0,35,0.92,36.2,59.0,-22.799999999999997,-0.6
2017-2018,87,Hamburger SV,de,17,34,8,7,19,29,53,-24.0,31,0.91,37.0,52.5,-15.5,-0.45588235294117646
2017-2018,88,Troyes,fr,19,38,9,6,23,32,59,-27.0,33,0.87,36.9,54.2,-17.300000000000004,-0.455263157894737
2017-2018,89,Swansea City,eng,18,38,8,9,21,28,56,-28.0,33,0.87,30.5,59.5,-29.0,-0.7631578947368421
2017-2018,90,Stoke City,eng,19,38,7,12,19,35,68,-33.0,33,0.87,37.5,63.8,-26.299999999999997,-0.6921052631578947
2017-2018,91,West Brom,eng,20,38,6,13,19,31,56,-25.0,31,0.82,34.4,48.5,-14.100000000000001,-0.3710526315789474
2017-2018,92,La Coruña,es,18,38,6,11,21,38,76,-38.0,29,0.76,49.1,58.1,-9.0,-0.23684210526315788
2017-2018,93,Metz,fr,20,38,6,8,24,34,76,-42.0,26,0.68,37.9,67.1,-29.199999999999996,-0.7684210526315788
2017-2018,94,Hellas Verona,it,19,38,7,4,27,30,78,-48.0,25,0.66,34.5,76.1,-41.599999999999994,-1.094736842105263
2017-2018,95,Köln,de,18,34,5,7,22,35,70,-35.0,22,0.65,42.2,67.8,-25.599999999999994,-0.7529411764705881
2017-2018,96,Las Palmas,es,19,38,5,7,26,24,74,-50.0,22,0.58,37.6,66.7,-29.1,-0.7657894736842106
2017-2018,97,Benevento,it,20,38,6,3,29,33,84,-51.0,21,0.55,39.1,74.7,-35.6,-0.9368421052631579
2017-2018,98,Málaga,es,20,38,5,5,28,24,61,-37.0,20,0.53,32.7,53.4,-20.699999999999996,-0.5447368421052631
2016-2017,1,Monaco,fr,1,38,30,5,3,107,31,76.0,95,2.50,,,,
2016-2017,2,Real Madrid,es,1,38,29,6,3,106,41,65.0,93,2.45,,,,
2016-2017,3,Chelsea,eng,1,38,30,3,5,85,33,52.0,93,2.45,,,,
2016-2017,4,Bayern Munich,de,1,34,25,7,2,89,22,67.0,82,2.41,,,,
2016-2017,5,Juventus,it,1,38,29,4,5,77,27,50.0,91,2.39,,,,
2016-2017,6,Barcelona,es,2,38,28,6,4,116,37,79.0,90,2.37,,,,
2016-2017,7,Paris S-G,fr,2,38,27,6,5,83,27,56.0,87,2.29,,,,
2016-2017,8,Roma,it,2,38,28,3,7,90,38,52.0,87,2.29,,,,
2016-2017,9,Tottenham,eng,2,38,26,8,4,86,26,60.0,86,2.26,,,,
2016-2017,10,Napoli,it,3,38,26,8,4,94,39,55.0,86,2.26,,,,
2016-2017,11,Atlético Madrid,es,3,38,23,9,6,70,27,43.0,78,2.05,,,,
2016-2017,12,Manchester City,eng,3,38,23,9,6,80,39,41.0,78,2.05,,,,
2016-2017,13,Nice,fr,3,38,22,12,4,63,36,27.0,78,2.05,,,,
2016-2017,14,Liverpool,eng,4,38,22,10,6,78,42,36.0,76,2.00,,,,
2016-2017,15,Arsenal,eng,5,38,23,6,9,77,44,33.0,75,1.97,,,,
2016-2017,16,RB Leipzig,de,2,34,20,7,7,66,39,27.0,67,1.97,,,,
2016-2017,17,Atalanta,it,4,38,21,9,8,62,41,21.0,72,1.89,,,,
2016-2017,18,Sevilla,es,4,38,21,9,8,69,49,20.0,72,1.89,,,,
2016-2017,19,Dortmund,de,3,34,18,10,6,72,40,32.0,64,1.88,,,,
2016-2017,20,Lazio,it,5,38,21,7,10,74,51,23.0,70,1.84,,,,
2016-2017,21,Hoffenheim,de,4,34,16,14,4,64,37,27.0,62,1.82,,,,
2016-2017,22,Manchester Utd,eng,6,38,18,15,5,54,29,25.0,69,1.82,,,,
2016-2017,23,Lyon,fr,4,38,21,4,13,77,48,29.0,67,1.76,,,,
2016-2017,24,Villarreal,es,5,38,19,10,9,56,33,23.0,67,1.76,,,,
2016-2017,25,Real Sociedad,es,6,38,19,7,12,59,53,6.0,64,1.68,,,,
2016-2017,26,Milan,it,6,38,18,9,11,57,45,12.0,63,1.66,,,,
2016-2017,27,Athletic Club,es,7,38,19,6,13,53,43,10.0,63,1.66,,,,
2016-2017,28,Inter,it,7,38,19,5,14,72,49,23.0,62,1.63,,,,
2016-2017,29,Marseille,fr,5,38,17,11,10,57,41,16.0,62,1.63,,,,
2016-2017,30,Everton,eng,7,38,17,10,11,62,44,18.0,61,1.61,,,,
2016-2017,31,Fiorentina,it,8,38,16,12,10,63,57,6.0,60,1.58,,,,
2016-2017,32,Bordeaux,fr,6,38,15,14,9,53,43,10.0,59,1.55,,,,
2016-2017,33,Espanyol,es,8,38,15,11,12,49,50,-1.0,56,1.47,,,,
2016-2017,34,Alavés,es,9,38,14,13,11,41,43,-2.0,55,1.45,,,,
2016-2017,35,Köln,de,5,34,12,13,9,51,42,9.0,49,1.44,,,,
2016-2017,36,Hertha BSC,de,6,34,15,4,15,43,47,-4.0,49,1.44,,,,
2016-2017,37,Eibar,es,10,38,15,9,14,56,51,5.0,54,1.42,,,,
2016-2017,38,Freiburg,de,7,34,14,6,14,42,60,-18.0,48,1.41,,,,
2016-2017,39,Torino,it,9,38,13,14,11,71,66,5.0,53,1.39,,,,
2016-2017,40,Nantes,fr,7,38,14,9,15,40,54,-14.0,51,1.34,,,,
2016-2017,41,Saint-Étienne,fr,8,38,12,14,12,41,42,-1.0,50,1.32,,,,
2016-2017,42,Werder Bremen,de,8,34,13,6,15,61,64,-3.0,45,1.32,,,,
2016-2017,43,M'Gladbach,de,9,34,12,9,13,45,49,-4.0,45,1.32,,,,
2016-2017,44,Rennes,fr,9,38,12,14,12,36,42,-6.0,50,1.32,,,,
